,Date,hour,minute,second,Avg,Sound,Describe,Feel,Place,Sources,MedIllnes_density,Low_to_No_density,TotDis_density,TotChild_density,OlderAdult_density,LEP_density,POC2_density
1,7/13/2019 14:23,14,23,1,73.1,Very Loud,Noisy,Irritated,Indoors,"trains,voices",23.71550562,13.25305093,5.230003305,0.667659996,3.683257647,16.93630857,19.52905489
1.1,9/27/2019 13:52,13,52,6,74.42,Quiet,Pleasant,Tranquil,Indoors,"footsteps,hvac,voices",23.71550562,13.25305093,5.230003305,0.667659996,3.683257647,16.93630857,19.52905489
1.2,11/6/2019 18:52,18,52,27,73.3,Moderately Loud,Neutral,Neutral,Indoors,voices,23.71550562,13.25305093,5.230003305,0.667659996,3.683257647,16.93630857,19.52905489
5,7/12/2019 21:09,21,9,50,71.35,Moderately Loud,Noisy,Irritated,Outdoors,"footsteps,traffic,voices",18.77745841,14.22077313,2.081476291,0.206558716,0.572008752,14.79278189,16.50880814
5.1,7/31/2019 23:09,23,9,16,70.12,Loud,Noisy,Neutral,Outdoors,"car music,pickup,traffic",18.77745841,14.22077313,2.081476291,0.206558716,0.572008752,14.79278189,16.50880814
5.2,9/13/2019 23:32,23,32,10,83.8,Loud,Noisy,Neutral,Outdoors,"car music,footsteps,restaurant,party,voices",18.77745841,14.22077313,2.081476291,0.206558716,0.572008752,14.79278189,16.50880814
5.3,9/14/2019 0:22,0,22,12,79.14,Moderately Loud,Noisy,Anxious,Indoors,"party,music,construction",18.77745841,14.22077313,2.081476291,0.206558716,0.572008752,14.79278189,16.50880814
5.4,9/14/2019 0:25,0,25,49,81.92,Moderately Loud,Neutral,Neutral,Outdoors,"voices,footsteps,traffic",18.77745841,14.22077313,2.081476291,0.206558716,0.572008752,14.79278189,16.50880814
5.5,9/14/2019 1:51,1,51,44,86.51,Very Loud,Noisy,Neutral,Indoors,"voices,music",18.77745841,14.22077313,2.081476291,0.206558716,0.572008752,14.79278189,16.50880814
5.6,9/15/2019 0:27,0,27,45,77.4,Loud,Pleasant,Relaxed,Outdoors,other,18.77745841,14.22077313,2.081476291,0.206558716,0.572008752,14.79278189,16.50880814
5.7,9/15/2019 0:28,0,28,18,78.11,Moderately Loud,Neutral,Neutral,Outdoors,traffic,18.77745841,14.22077313,2.081476291,0.206558716,0.572008752,14.79278189,16.50880814
5.8,9/15/2019 0:30,0,30,32,81.16,Moderately Loud,Neutral,Neutral,Indoors,restaurant,18.77745841,14.22077313,2.081476291,0.206558716,0.572008752,14.79278189,16.50880814
5.9,9/15/2019 2:39,2,39,51,81.26,Moderately Loud,Neutral,Neutral,Outdoors,"footsteps,voices",18.77745841,14.22077313,2.081476291,0.206558716,0.572008752,14.79278189,16.50880814
5.1,10/7/2020 21:05,21,5,48,73.44,Moderately Loud,Noisy,Irritated,Indoors,trains,18.77745841,14.22077313,2.081476291,0.206558716,0.572008752,14.79278189,16.50880814
7,7/24/2019 12:21,12,21,56,35.41,Quiet,Neutral,Neutral,Indoors,quiet,26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
7.1,7/24/2019 21:24,21,24,52,40.67,Loud,Neutral,Neutral,Indoors,other,26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
7.2,7/24/2019 21:28,21,28,19,48.88,Moderately Loud,Neutral,Neutral,Indoors,"hvac,other",26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
7.3,7/25/2019 1:12,1,12,27,34.25,Quiet,Neutral,Neutral,Indoors,voices,26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
7.4,9/14/2019 0:16,0,16,57,80.98,Loud,Neutral,Neutral,Outdoors,"music,voices,footsteps",26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
7.5,9/14/2019 0:23,0,23,54,84.27,Loud,Neutral,Neutral,Outdoors,"footsteps,music,traffic,voices",26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
7.6,9/14/2019 3:26,3,26,6,80.42,Loud,Neutral,Neutral,Outdoors,"car music,music",26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
7.7,9/15/2019 1:04,1,4,33,78.79,Moderately Loud,Neutral,Neutral,Outdoors,"car music,footsteps,music",26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
7.8,9/15/2019 1:05,1,5,7,84.03,Moderately Loud,Neutral,Neutral,Outdoors,"car music,music,traffic",26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
7.9,9/15/2019 1:05,1,5,29,81.05,Moderately Loud,Neutral,Neutral,Outdoors,"car music,music,traffic,voices",26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
7.1,9/30/2019 18:56,18,56,55,68.64,Quiet,Noisy,Irritated,Indoors,construction,26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
7.11,10/25/2019 18:25,18,25,45,83.07,Moderately Loud,Noisy,Neutral,Outdoors,"car music,horn,trains,traffic,construction",26.3288863,14.45331466,3.359266494,1.199738034,5.391763869,19.84507853,23.48663633
8,7/26/2019 14:38,14,38,38,86.81,Quiet,Neutral,Tranquil,Outdoors,alarm,23.40702211,39.55732174,2.250675203,0.704756882,0.704756882,40.26207862,24.62102267
9,7/13/2019 19:02,19,2,21,77.32,Moderately Loud,Neutral,Neutral,Indoors,voices,25.67326111,23.89255517,8.502688672,0.425134434,10.16678631,34.05934148,13.64074197
9.1,9/17/2020 11:15,11,15,35,66.29,Quiet,Neutral,Neutral,Indoors,"footsteps,dog,neighbor,trains,construction",25.67326111,23.89255517,8.502688672,0.425134434,10.16678631,34.05934148,13.64074197
11,7/10/2019 17:41,17,41,44,38.2,Quiet,Neutral,Neutral,At work,voices,24.15565204,5.810566634,1.808390636,0.503977718,0.237165985,6.047732619,29.57163376
